ID,Назва,Cost (закуп),Supplier Price (RRP),Rozetka Price (поточна),Base Before Round,Final Price (рекоменд.),Target Profit,Net Profit,Comm Used (%),Used RRP?,RRP Fallback?,Old Price Rec.
550052718,Крісло ігрове Anda Seat Kaiser 4 Brown Size L,18399.18,22999.0,22999,22999.0,22999,1000.0,2989.89,7.0,True,False,27999.0
550052715,Крісло ігрове Anda Seat Luna Pro Black Fabric Size...,10399.2,12999.0,12999,12999.0,12999,1000.0,1039.92,12.0,True,False,14999.0
550052712,Крісло ігрове Anda Seat Kaiser 3 Black Fabric Size...,15999.18,19999.0,19999,19999.0,19999,1000.0,1599.94,12.0,True,False,24999.0
550052709,Крісло ігрове Anda Seat T-Pro 2 Blue/Black Size XL,14399.22,17999.0,17999,17999.0,17999,1000.0,1439.9,12.0,True,False,21999.0
550052706,Крісло ігрове Anda Seat Kaiser 4 V2 Size XL Black ...,19999.2,24999.0,24999,24999.0,24999,1000.0,3249.87,7.0,True,False,29999.0
550052703,Крісло ігрове Anda Seat Kaiser 4 Green Size L,18399.18,22999.0,22999,22999.0,22999,1000.0,2989.89,7.0,True,False,27999.0
550052700,Крісло ігрове Anda Seat Kaiser 3 Brown Size XL,17599.2,21999.0,21999,21999.0,21999,1000.0,2859.87,7.0,True,False,25999.0
550052697,Крісло ігрове Anda Seat Luna Black Fabric Size L,9599.22,11999.0,11999,12045.0,12099,1000.0,1047.9,12.0,False,False,14518.8
550052694,Крісло ігрове Anda Seat T-Pro 2 Grey/Black Size XL,14399.22,17999.0,17999,17999.0,17999,1000.0,1439.9,12.0,True,False,21999.0
550052691,Крісло ігрове Anda Seat Kaiser 4 Black Fabric Size...,18399.18,22999.0,22999,22999.0,22999,1000.0,2989.89,7.0,True,False,27999.0
550052688,Крісло ігрове Anda Seat Kaiser 3 Black Size XL,17599.2,21999.0,21999,21999.0,21999,1000.0,2859.87,7.0,True,False,25999.0
550052685,Крісло ігрове Anda Seat Luna Black Size L,9599.22,11999.0,11999,12045.0,12099,1000.0,1047.9,12.0,False,False,14518.8
550052682,Крісло ігрове Anda Seat Kaiser 3 Maroon Size L,15999.18,19999.0,19999,19999.0,19999,1000.0,1599.94,12.0,True,False,24999.0
550052679,Крісло ігрове Anda Seat Kaiser 4 Pink Size L,18399.18,22999.0,22999,22999.0,22999,1000.0,2989.89,7.0,True,False,27999.0
550052676,Крісло ігрове Anda Seat Phantom 3 Pro Fabric Dark ...,13599.18,16999.0,16999,16999.0,16999,1000.0,1359.94,12.0,True,False,18999.0
550052673,Крісло ігрове Anda Seat Kaiser 4 Brown Size XL,19199.22,23999.0,23999,23999.0,23999,1000.0,3119.85,7.0,True,False,28999.0
550052670,Крісло ігрове Anda Seat X-Air Pro Size XL Mesh Gra...,15999.18,19999.0,19999,19999.0,19999,1000.0,1599.94,12.0,True,False,21999.0
550052667,Крісло ігрове Anda Seat Luna Pro Dark Gray Fabric ...,10399.2,12999.0,12999,12999.0,12999,1000.0,1039.92,12.0,True,False,14999.0
550052664,Крісло ігрове Anda Seat Kaiser 4 Violet Size XL,19199.22,23999.0,23999,23999.0,23999,1000.0,3119.85,7.0,True,False,28999.0
550052661,Крісло ігрове Anda Seat Phantom 3 Pink Size L,11199.18,13999.0,13999,13999.0,13999,1000.0,1119.94,12.0,True,False,15999.0
550052658,Крісло ігрове Anda Seat Kaiser 4 V2 Size XL Dark G...,19999.2,24999.0,24999,24999.0,24999,1000.0,3249.87,7.0,True,False,29999.0
550052655,Крісло ігрове Anda Seat Kaiser 3 Pro Fabric Gray S...,16799.22,20999.0,20999,20999.0,20999,1000.0,2729.85,7.0,True,False,25999.0
550052652,Крісло ігрове Anda Seat Kaiser 3 White Size XL,17599.2,21999.0,21999,21999.0,21999,1000.0,2859.87,7.0,True,False,25999.0
